ID,Latitude_Decimal,Longitude_Decimal
EL-036631,8.470833333333333,7.65
EL-036631,8.5125,7.65
EL-036631,8.5125,7.6625000000000005
EL-036631,8.554166666666667,7.6625000000000005
EL-036631,8.554166666666667,7.670833333333333
EL-036631,8.5125,7.670833333333333
EL-036631,8.5125,7.675000000000001
EL-036631,8.491666666666665,7.675000000000001
EL-036631,8.491666666666665,7.666666666666667
EL-036631,8.483333333333333,7.666666666666667
EL-036631,8.483333333333333,7.670833333333333
EL-036631,8.462499999999999,7.670833333333333
EL-036631,8.462499999999999,7.666666666666667
EL-036631,8.470833333333333,7.666666666666667
ML-000001,6.920833333333333,3.1166666666666667
ML-000001,6.941666666666667,3.1166666666666667
ML-000001,6.941666666666667,3.1375
ML-000001,6.958333333333334,3.1375
ML-000001,6.958333333333334,3.158333333333333
ML-000001,6.95,3.158333333333333
ML-000001,6.95,3.1708333333333334
ML-000001,6.945833333333334,3.1708333333333334
ML-000001,6.945833333333334,3.175
ML-000001,6.9375,3.175
ML-000001,6.9375,3.1916666666666664
ML-000001,6.925000000000001,3.1916666666666664
ML-000001,6.925000000000001,3.1875
ML-000001,6.920833333333333,3.1875
ML-000001,6.920833333333333,3.1791666666666667
ML-000001,6.883333333333333,3.1791666666666667
ML-000001,6.883333333333333,3.1208333333333336
ML-000001,6.908333333333334,3.1208333333333336
ML-000001,6.908333333333334,3.125
ML-000001,6.9125000000000005,3.125
ML-000001,6.9125000000000005,3.129166666666667
ML-000001,6.920833333333333,3.129166666666667
EL-027497,9.966666666666667,6.666666666666667
EL-027497,10.0,6.666666666666667
EL-027497,10.0,6.675000000000001
EL-027497,10.020833333333334,6.675000000000001
EL-027497,10.020833333333334,6.6875
EL-027497,10.054166666666667,6.6875
EL-027497,10.054166666666667,6.666666666666667
EL-027497,10.116666666666667,6.666666666666667
EL-027497,10.116666666666667,6.770833333333333
EL-027497,10.1,6.770833333333333
EL-027497,10.1,6.7625
EL-027497,9.995833333333332,6.7625
EL-027497,9.995833333333332,6.770833333333333
EL-027497,9.966666666666667,6.770833333333333
EL-065769,9.995833333333332,6.7625
EL-065769,10.1,6.7625
EL-065769,10.1,6.770833333333333
EL-065769,9.995833333333332,6.770833333333333
EL-033523,6.979166666666667,4.666666666666667
EL-033523,7.008333333333334,4.666666666666667
EL-033523,7.008333333333334,4.7625
EL-033523,6.979166666666667,4.7625
EL-042653,7.775,5.008333333333334
EL-042653,7.7875,5.008333333333334
EL-042653,7.7875,5.0125
EL-042653,7.795833333333333,5.0125
EL-042653,7.795833333333333,5.008333333333334
EL-042653,7.804166666666666,5.008333333333334
EL-042653,7.804166666666666,5.025
EL-042653,7.775,5.025
EL-035303,9.112499999999999,6.983333333333333
EL-035303,9.133333333333333,6.983333333333333
EL-035303,9.133333333333333,7.004166666666666
